Special Feature,Apartment Location,Apartment Price,Room Specs
"
Condo/Apartment
","
Commelinstraat 468 - Oost en Watergraafsmeer - 1093VD AMSTERDAM
","
315.000 €  (K.K.)
","

3

2

1

 71,20 
"
"
Condo/Apartment
","
Wagenaarstraat 185 - Oost en Watergraafsmeer - 1093CN AMSTERDAM
","
715.000 €  (K.K.)
","

4

3

1

 121,29 
"
"
Condo/Apartment
","
westerlengte 151 - Amsterdam-Noord - 1034TB AMSTERDAM
","
198.000 €  (K.K.)
","

3

2

1

 78 
"
"
Condo/Apartment
","
Baarsjesweg 139A - De Baarsjes - 1057 HM AMSTERDAM
","
375.000 €  (K.K.)
","

2

1

1

 80,10 
"
"
Garden Apartment
","
Lomanstraat 95 Hs - Oud-Zuid - 1075PZ AMSTERDAM
","
1.250.000 €  (K.K.)
","

5

4

2

 140 
"
"
Garden Apartment
","
Kraaienplein 24 - Amsterdam-Noord - 1021EG AMSTERDAM
","
290.000 €  (K.K.)
","

3

2

1

 68 
"
"
Studio
","
bezaanjachtplein 81 - Amsterdam-Noord - 1034 CR AMSTERDAM
","
165.000 €  (K.K.)
","

1

 

1

 29 
"
"
Condo/Apartment
","
Berthold Brechtstraat 623 - 1102RS AMSTERDAM
","
169.000 €  (K.K.)
","

3

2

1

 58 
"
"
Apartment with roof
","
Sijlhoff 36 - Oud-Zuid - 1082EP AMSTERDAM
","
527.500 €  (K.K.)
","

4

1

2

 121 
"
"
Condo/Apartment
","
Veembroederhof 209 - Binnenstad - 1019HD AMSTERDAM
","
555.000 €  (K.K.)
","

2

1

1

 119,22 
"
"
Apartment with roof
","
Meeuwenlaan 89 c - Amsterdam-Noord - 1021HW AMSTERDAM
","
269.000 €  (K.K.)
","

2

1

1

 54 
"
"
Apartment upstairs
","
van Bossestraat 108C - 1051 KD AMSTERDAM
","
535.000 €  (K.K.)
","

4

3

1

 91 
"
"
Garden Apartment
","
sarphatistraat 478 - Binnenstad - 1018 GW AMSTERDAM
","
750.000 €  (K.K.)
","

5

3

1

 120,20 
"
"
Condo/Apartment
","
Mary van der Sluisstraat 458 - 1095 ME AMSTERDAM
","
395.000 €  (K.K.)
","

3

2

1

 92 
"
"
Condo/Apartment
","
De Clercqstraat 40 2 - Oud-West - 1052 NG AMSTERDAM
","
350.000 €  (K.K.)
","

2

1

1

 61,40 
"
"
Condo/Apartment
","
Pieter Calandlaan 877 - Osdorp - 1069 sc AMSTERDAM
","
287.000 €  (K.K.)
","

3

2

1

 873 
"
"
Condo/Apartment
","
Curaçaostraat 78 2 - De Baarsjes - 1058CA AMSTERDAM
","
345.000 €  (K.K.)
","

3

2

1

 55,70 
"
"
Garden Apartment
","
Moerdijkstraat 27 HS - 1079XL AMSTERDAM
","
275.000 €  (K.K.)
","

3

1

1

 45,10 
"
"
Condo/Apartment
","
Hammarbystraat 14 - Amsterdam-Noord - 1031KD AMSTERDAM
","
655.000 €  (K.K.)
","

3

2

1

 108,20 
"
"
Condo/Apartment
","
Jan van Zutphenstraat 591 - 1060 LR AMSTERDAM
","
425.000 €  (K.K.)
","

4

3

1

 115 
"
"
Condo/Apartment
","
Pieter Calandlaan 1133 +pp - 1069 SE AMSTERDAM
","
285.000 €  (K.K.)
","

3

2

1

 88 
"
"
Garden Apartment
","
Lindenstraat 61 - Binnenstad - 1015KW AMSTERDAM
","
709.000 €  (K.K.)
","

4

2

1

 86,90 
"
"
Apartment with roof
","
Bellamystraat 374 F+pp - 1053 BS AMSTERDAM
","
725.000 €  (K.K.)
","

4

3

1

 116 
"
"
Apartment with roof
","
Javastraat 58 4 - Oost en Watergraafsmeer - 1094HK AMSTERDAM
","
350.000 €  (K.K.)
","

2

1

1

 53,70 
"
